Periodo,Rentabilidad,Sector,Rent_indice
2016Q3,3.6596611538810686,Energy,3.32120538316282
2016Q4,-13.855297039033998,Energy,-16.35064086645552
2017Q1,-10.140135432814173,Energy,-1.7058143864409203
2017Q2,11.04476313897539,Energy,14.107515195533892
2017Q3,36.76933657951473,Energy,7.734179915081028
2017Q4,32.06574674459691,Energy,13.10978498167209
2018Q1,-10.142635202415407,Energy,-6.353094698823625
2018Q2,-23.569041951791792,Energy,-17.100456276234187
2018Q3,6.276862200614107,Energy,-2.773688609337654
2018Q4,-16.292796628433813,Energy,-12.314615016515999
2016Q3,30.21279455136808,Technology,26.21902837770925
2016Q4,18.2515007482817,Technology,14.74242612540526
2017Q1,15.072054865870236,Technology,14.643830068737545
2017Q2,15.203049818943363,Technology,10.982939858999515
2017Q3,18.37019908503204,Technology,6.243836647100097
2017Q4,22.228728822877326,Technology,13.46989776653993
2018Q1,4.9501079062893005,Technology,1.86114749221062
2018Q2,-5.391661582922936,Technology,-6.223829766733174
2018Q3,16.4042224722381,Technology,4.363271725634888
2018Q4,24.205028937182348,Technology,-1.5874855452139232
2016Q3,18.517092817625894,Healthcare,12.645788118907163
2016Q4,21.34996632996617,Healthcare,13.015996871142914
2017Q1,13.249167311021488,Healthcare,17.794434006008142
2017Q2,0.10527424045184534,Healthcare,18.158180501525482
2017Q3,10.052846934929928,Healthcare,10.637816704783075
2017Q4,30.91491605293185,Healthcare,14.147483184212065
2018Q1,5.328366480117264,Healthcare,4.6836349551240195
2018Q2,-0.25473632101000593,Healthcare,-4.906961448738542
2018Q3,8.50961670032095,Healthcare,-0.782593546259605
2018Q4,20.272185951930883,Healthcare,-0.7480250532634329
2016Q3,18.965280151803025,Industrials,16.33704298097713
2016Q4,14.38539789842609,Industrials,5.145121599589672
2017Q1,14.552159809217613,Industrials,9.158634670285297
2017Q2,11.71480265223575,Industrials,12.08698754239015
2017Q3,10.534990979462535,Industrials,5.721835379423396
2017Q4,16.54901712859789,Industrials,10.367824420490052
2018Q1,-6.414946942464528,Industrials,3.0208872028084954
2018Q2,2.0125357868896394,Industrials,-3.0114480996558086
2018Q3,24.99399439792073,Industrials,12.265014771955464
2018Q4,-1.6738249079152947,Industrials,10.899798143936195
